,motif_id,nb_real,freq,freq cumul,inv_freq_cumul,s_valid,label,birthDate,birthYear,deathYear,alias,birthName,deathDate
86,motif86,0,0,0.999704722429942,0.000295277570057873,0,0,1,0,0,0,1,0
87,motif87,0,0,0.999704722429942,0.000295277570057873,1,1,0,1,0,0,0,1
88,motif88,0,0,0.999704722429942,0.000295277570057873,0,0,0,0,0,1,1,1
95,motif95,0,0,0.999704722429942,0.000295277570057873,1,1,1,1,0,0,0,1
96,motif96,0,0,0.999704722429942,0.000295277570057873,0,0,0,1,0,0,1,1
98,motif98,0,0,0.999704722429942,0.000295277570057873,0,0,0,1,0,1,1,1
99,motif99,0,0,0.999704722429942,0.000295277570057873,1,1,1,0,1,0,0,1
100,motif100,0,0,0.999704722429942,0.000295277570057873,0,1,0,0,0,1,0,1
102,motif102,0,0,0.999704722429942,0.000295277570057873,0,0,0,0,0,0,0,1
105,motif105,0,0,0.999704722429942,0.000295277570057873,0,0,1,0,0,0,0,1
106,motif106,0,0,0.999704722429942,0.000295277570057873,1,1,1,1,0,0,1,1
107,motif107,0,0,0.999704722429942,0.000295277570057873,1,1,0,1,0,1,1,1
108,motif108,0,0,0.999704722429942,0.000295277570057873,0,0,1,0,1,0,0,0
111,motif111,0,0,0.999704722429942,0.000295277570057873,0,0,0,0,0,0,1,1
113,motif113,0,0,0.999704722429942,0.000295277570057873,0,0,0,0,0,1,0,1
120,motif120,0,0,0.999704722429942,0.000295277570057873,0,0,1,1,0,0,1,1
122,motif122,0,0,0.999704722429942,0.000295277570057873,0,0,1,0,0,1,1,0
126,motif126,0,0,0.999704722429942,0.000295277570057873,0,0,1,1,0,0,0,1
